Participant_ID,Concept_ID,Concept_Type,Concept,Evaluation,Potency,Activity,Rating_Total,Proportion_Rated
2,1,Asocial Behaviors,accept,0.7,0.1,-0.2,62,0.967741935
15,1,Asocial Behaviors,accept,1.1,0.8,2.1,62,0.967741935
22,1,Asocial Behaviors,accept,0.9,1.6,0.5,62,0.967741935
40,1,Asocial Behaviors,accept,4,4,4,62,0.967741935
47,1,Asocial Behaviors,accept,1.9,-1.3,2.2,62,0.967741935
55,1,Asocial Behaviors,accept,0.1,0.3,1.1,62,0.967741935
77,1,Asocial Behaviors,accept,3.8,3.5,4,62,0.967741935
81,1,Asocial Behaviors,accept,3.5,-2.1,3.3,62,0.967741935
100,1,Asocial Behaviors,accept,2.9,2.7,2.5,62,0.967741935
113,1,Asocial Behaviors,accept,2.1,3.2,2.1,62,0.967741935
124,1,Asocial Behaviors,accept,0,0.1,1.5,62,0.967741935
139,1,Asocial Behaviors,accept,1.3,2.7,1.9,62,0.967741935
148,1,Asocial Behaviors,accept,2,-1.9,2.1,62,0.935483871
151,1,Asocial Behaviors,accept,3.1,2.7,3,62,0.967741935
164,1,Asocial Behaviors,accept,1,1,1,62,0.967741935
181,1,Asocial Behaviors,accept,0.5,0.5,0.6,62,0.967741935
185,1,Asocial Behaviors,accept,2.9,3.1,3.4,62,0.967741935
202,1,Asocial Behaviors,accept,4,3.7,0.9,62,0.967741935
204,1,Asocial Behaviors,accept,2.5,2.9,-3.4,62,0.967741935
212,1,Asocial Behaviors,accept,2.1,1.9,1.9,62,0.967741935
217,1,Asocial Behaviors,accept,4,3.8,3.3,62,0.967741935
218,1,Asocial Behaviors,accept,3.8,3.2,3.7,62,0.967741935
223,1,Asocial Behaviors,accept,3.9,3.5,3.9,62,0.967741935
228,1,Asocial Behaviors,accept,3.3,3.4,2.1,62,0.967741935
252,1,Asocial Behaviors,accept,1.2,2.4,1.7,62,0.967741935
253,1,Asocial Behaviors,accept,4,4,4,62,0.967741935
254,1,Asocial Behaviors,accept,3,-1.2,1,62,0.967741935
285,1,Asocial Behaviors,accept,2,2.8,3.2,62,0.967741935
296,1,Asocial Behaviors,accept,4,4,3.7,62,0.967741935
297,1,Asocial Behaviors,accept,1.2,2,1.3,62,0.967741935
301,1,Asocial Behaviors,accept,1.9,1.1,-0.7,62,0.951612903
309,1,Asocial Behaviors,accept,2.3,1.3,-0.6,62,0.967741935
340,1,Asocial Behaviors,accept,2.4,2.8,3.2,62,0.967741935
355,1,Asocial Behaviors,accept,3.3,3.7,4,62,0.967741935
356,1,Asocial Behaviors,accept,1.1,0.9,1.1,62,0.967741935
360,1,Asocial Behaviors,accept,3.3,3.9,2.8,62,0.967741935
367,1,Asocial Behaviors,accept,0.8,-1.3,-1.3,62,0.967741935
368,1,Asocial Behaviors,accept,2.3,2.5,2.7,62,0.967741935
377,1,Asocial Behaviors,accept,1.5,-1.8,2.4,62,0.967741935
391,1,Asocial Behaviors,accept,3.7,3.7,3.9,62,0.967741935
394,1,Asocial Behaviors,accept,0.8,0.8,0.9,62,0.967741935
429,1,Asocial Behaviors,accept,3.1,3,3.1,62,0.951612903
441,1,Asocial Behaviors,accept,4,4,4,62,0.967741935
459,1,Asocial Behaviors,accept,-1.1,1.8,1.8,62,0.967741935
468,1,Asocial Behaviors,accept,4,4,4,62,0.967741935
471,1,Asocial Behaviors,accept,0.7,0.7,-0.6,62,0.967741935
