pull_request_id,body,Agrees
16311,i agree with brad either the  complete  experience  or an unadorned pagerefreshing experience i think a partiallyworking automatic filter would be confusing,0
16378,added test to ensure single class is passed multiple classes gave false positive ,1
10755,thats fine for now i may merge them if i get some time,0
16402,this is a minor bug fix  should be   ,1
8214,done renamed timestamp to freezedate    im actually setting builddate to the actual day that the image is built because it can differ from the freezedate,1
13740,can we use something more descriptive than  and  ,1
16412,remove space after commas,1
16422,i think you might need to prefix the string with  like above  because of some other processing we do later on the chain with error messages    also  if we dont allow the comma at all in a collection title  the reserved string    doesnt make sense  sin,1
15707,yep  you are right  the problem is that we dont know if more headers have been added  another option is to create a refresh method and call it from outside every time a new header is created removed  makes sense for me,0
16414,heres that bug i was talking about pipe character is a regexp special character needs to be escaped to match,1
14904,good catch  thought i got everything  ,0
15343,good catch  ill fix the debug message in ,0
16414,this should be changed to so we can have  ,1
15316,will fix  i didnt read the contributing file before contributing ,0
15932,i think id like to either do this  or remove the comment if theres a need for the method to change  well feel it anyway,1
14904,can you make this protected   also s they the in the comment,1
15932,we could probably make this change in   unless it was accidental ,1
16455,the type of is  this is not fixed  let me know if its ok ,1
15932,raising within a template is  i think  unprecedented in this codebase  so itd be good to understand a bit more about whats going on is this to defend against  calls which forget to set it in their    options ,1
16466,because the for loop starts at   it will loop once for instance  if someone picks the dates    and    and chooses to recur on monday  no loans would be added  because the time span is   for one day  which is a thursday similarly  if the user cho,1
15932,i think we could probably use a stronger selector here this will match any other link that happens to use the organisation name,1
16455,nah  object should be fine all objects are of anyway if phpdocumentor complains  well change it,1
16123,why did these need to change  the fact that it didnt break any tests means we have some untested and unverified cases here as well,1
13740,jeffheifetz i vote we dont use a status flag at all see my comment about editing the existing keepsource flag,1
16123,i feel like an option passed in with the request would make more sense if you want to enable it globally it could be an option to initialize as well this should not be the default as it breaks backwards   compatibility,1
16210,i believe this expression would be easier to understand it reduces to one level of parens and drops the confusing and      ,1
16495,this could be dryed up in a similar manner to the in the controller  since the always has the same value  and only the value of the changes    so  something like,0
16537,same as above  this will only work for plugins and not cues if this is intended  ignore this comment,1
14864,this is  a  every time because  is not defined maybe it belongs further down  and should be checking  instead ,1
16537,can you define a plugin that has no function definitions and still have it work  just to make the test smaller,1
15334,lets put this in a view instead ,1
15334,id remove a lot of stuff here since it is an example ,1
15334,ha  lets remove credits ,0
13912,this is fantastic news ,0
15334,lets skip this and move to cli directly ,1
15995,it has now been moved to,0
15995,it has been placed on its own line,0
15334,can you add the driver config here ,1
14624,maybe inline error into the table  like unauth,1
15334,lets also add  to check that all entities are there,0
11557,since we know that this will happen if the original post is not there can we either   a log out a more helpful exception  b handle it without the try catch using and then just discard the reply if we dont have the original,1
16565,is this import needed  thats the default i thought,1
