body,emotion
we should cap it with,1.0
"In other repos/languages we have the convention of always finish the file with a new line, in case you want to adopt it",1.0
"could replace [.] with either . or [.]. The former would probably be more efficient, since the latter would be a single option character class.",1.0
"is this a bug, you are not appending multiple values for query strings, also, the string builder is never used here. I think a line was deleted",0.0
Check it: ,1.0
"This freezes a post-processed copy of as per the packager configuration.  For , this is no problem.  For  and , it might be more of a problem, as users installing the package might be using another 
Python (for the ",1.0
"raising within a template is, I think, unprecedented in this codebase, so it'd be good to understand a bit more about what's going on. Is this to defend against  calls which forget to set it in their  
options?",0.0
Maybe 'Show detailed information about an installed package',1.0
"Formatting and indentation doesn't seem right. Please use style, 
          ",0.0
"below.  you got rid of those, right?",1.0
"Just to clarify, this bug has to do with *computed* values in Webkit. The values output by Sass were always correct (and seem to be to-spec), which is why tests didn't pick them up. What happens is 
that if ",1.0
Yeah I'm not going to fix the whitespace for now.,0.0
"I prefer an explicit call (ctors should really only be used to initializing data). It's like  or , the progress writer can be started and stopped. I can add, but I'll leave it as Star",1.0
Use the  from the target class'  here,1.0
This is a clever tagging trick which facilitates easy lookup of points via the  object that  wraps its points in. it's a bit of a kludge but works surprisingly well.,1.0
"Oh, you clone it down here. Whoops, sorry!",0.0
Why the check for range position? Could you add a comment,0.0
"Out of curiosity, why these 2 lines are enclosed with { } ? Is there something special about this syntax I'm not aware of?",0.0
"I think the correct fix here is just . This will be allocated on the stack each call (so it won't be shared), but it won't cause a leak.",1.0
 at least seems to pass even _without_ your changes in  so I am dubious about the need for this pull request. By the way is there an associated JIRA ticket?,1.0
I agree; that is a legacy method that I did not dare touch without a thorough search,0.0
I'd suggest:,1.0
"In particular, the jQuery style it out of character with our other PHP APIs.

If we wanted to keep hacking around with this API, we could potentially remove the  argument in favour of  and  as a pair of methods, which would",1.0
"So, the stubby tests are OK, but it would be great to have some tests that only run if Hiera is installed, and that actually *do* the lookup.  Otherwise if the Hiera interface changes we will totally keep 
passing.",1.0
yikes I think you are right! have fixed,1.0
"Please adjust coding style so it fits (see the if just below), also I think using might make more sense.",1.0
"Seems safe to add these around all read operations, since they should be less likely to fail. But sure if we want to fix each problem as it arises that's fine by me.",1.0
"This PR is simply moving **existing** code about. For now, for simplicity in this PR, it's just about making the testing process reusable in 3rd party twig extensions.  Optimizations should go in a 
separate PR.",0.0
Yes. Is that OK?,0.0
"hmmm, also, it'd really be  :) ",1.0
"I couldn't get this to work? I keep getting wrong number of arguments (1 for 0) for sort. I checked the docs but I'm not sure what's exactly happening with - I'm assuming it's a proc which is basically 
just a block of code and you're passing i",0.0
Why are you converting a perfectly good use of a named route back to the old format?,0.0
A timer inside a constructor seems a little awful,0.0
It seems you mean .,1.0
"I expected such a redundant implemented code, too. When you accept my claim, it will be difficult to avoid it. Thank you for your work!",1.0
"Instead of exiting with a goto, I would be tempted to add a  state and have terminal cases such as this just go into that state and then let the loop exit naturally.",1.0
You're duplicating core httpd functionality now. Using  here is the right thing.,0.0
maybe add ,1.0
"minor: 
For consistency, I've been trying to use the  method whenever more than one property is being set. These two lines would thus become:

as you did above, with 
",1.0
"Thanks, will fix.",1.0
Fix is here! :),1.0
 escaped to  after helpful comment from Naomi!,1.0
"As above, I'd omit this comment.",1.0
"Richard,

That may just be habit on my part. in the top level makes it
ignore beams everywhere. I can fix that and resubmit the pull request
if you like.

Eric
",0.0
Is there anything in here that's not covered by the install instructions in the readme?,0.0
"Okay, I'll just make that change then. No need to bother with a pull request. :) Thanks!",1.0
We can avoid if we update the configure script to only sudo the command that installs global npm modules.,1.0
"you could probably skip the ""or""

 should suffice",1.0
"(nitpick warning)  unfortunate that , , which are arguably illegible protocol details must be known by the user of the api.  ",0.0
I think it's the caller who should decide _how_ something gets executed. I'd remove the Future {} and the.,0.0
"Reset everything because this is ASP.Net, where ALL behavior is undefined.",1.0
"I was wondering if I needed a  function that returned a results class instead of just having the fitted attributes as part of the model class.  However, l'd have a class with only a fit function and nothing 
else, which didn't seem right.  But, it mig",0.0
"So, every loop you register inotify handles, check for changes and re-register? I could be wrong, but it seems wasteful, and might not get some events (in between the checks)...

I think you should init the inotify on constructor and clean on destructor",1.0
I believe we can actually change the  to be  to cut down on the typing and not need to define the . It's one of the things I really like about faraday.,1.0
"Which ones don't? And what would they use?

lib64?",1.0
Why is this a bug fix? The change just adds an 'expand' class to the textarea so javascript picks it up and loads the plugin.,1.0
Oh wait. So the second entry is the value. The tuple confused me. I just expected a hash. Sorry.,0.0
"you should update the comment as the steps are now 1, 2, 4, 6 :)",1.0
"Because we have only three options here and because I used the standard values of many shell commands  I think it's not a good idea. Generally speaking you are right but in this case I think is not so 
necessary.",1.0
"Fixed. Sorry.
Looks like for current dmd even private  has to be ...",0.0
"The problem with the  attribute of the  annotation is that the test will pass if any code in the method throws the exception. Usually it's better to use the  rule so you know which method threw the 
exception.

In this ca",1.0
Can you push a commit to get rid of this debugging code?,1.0
"Is it necessary to explicitly cast this dtype to be floats?  I'm not against it, I just don't see it done elsewhere.",0.0
"Thanks very much. 

I've got an OSX machine here so I'll be sure to test any changes I make from hereon out. Though I think the C code is safe now :)",1.0
"Have you actually observed a case where works over  ?

I'm not really seeing the point of making this an additional method of path determination.",0.0
"Ah, now I understand. Yes, your point makes sense. Let's keep it in for now.

Thanks for taking the time to help me understand the concern.",1.0
Should the migration copy the internal names over to the display names (or pass them through a reasonable mapping)?,1.0
This function should probably have a test. It's not entirely clear what form the  object should take.,1.0
"okay, I'm going to change partly to for the sake of readability and obviousness, and I'm going to modify and bring into use the @spell annotation for description and alternate names(although class 
names will still be used if an alternate name is",1.0
"why ""system""?",1.0
That's fine for now. I may merge them if I get some time.,1.0
I don't think that you need to check in ,0.0
"Why 10%, this seems like an arbitrary limit? You can push as much data as you want, you'll simply tradeoff against collisions.",0.0
"Probably, this isn't new code it's just indented because of the using.",0.0
"I just checked the Makefile, and unless mistaken, I see no dependency on GNU make.  This Makefile would run on any make.  The  construct and the  construct are not uniformly supported however, 
that's likely why I avoided them.  Do you have any rea",1.0
"Semantic change. This will allow non escaped spaces in the definition. I'm not sure if lex/flex allows that. One problem I can think of is a dangling space at the end of a definition. That may produce 
some headaches when debugging as it is kinda invisible",0.0
Could be but that means patching ,1.0
You copied this pattern around 4 times. Any chance you could extract it into a method?,0.0
"Do we have to bring this in globally, as part of loading the root Puppet module?",0.0
"I really did a real-life LOL when I've seen how long is this line :-) Anyway, consider this as an improvement:
",1.0
userstamp doesn't handle that?,1.0
"Nit: should be ""its""",1.0
Your line breaks here are flipped.,1.0
Ah (thanks for clarifying)! Cool. :-),1.0
"No real reason. I'm just trying to expand these shorthand rules into their longhand counterparts so I can detect similarities easier.

For example:",1.0
Done. I finally decided to remove the recalculation code. It was introducing some unneeded complexity right now. We can always add it later if people demands it :),1.0
"We could probably make this change in , unless it was accidental?",1.0
"make it  and remove the super on the next line. 

With these two changes (see one below on line 125) the class names doesn't need to be repeated. ",1.0
First letter should always be uppercased. Do you start a paragraph using lowercase? =P,0.0
"A  is indeed built from a , but I wouldn't say it **is** a . How about only exposing the oid of the ?",1.0
"We don't need to set the user, it should automatically be assigned from the.",1.0
