pull_request_id,body,Agrees
16311,i think autosubmitting to cause a full page refresh would be a pretty bad  experience  so id probably prefer they had to trigger the submit manually,0
16311,i agree with brad either the  complete  experience  or an unadorned pagerefreshing experience i think a partiallyworking automatic filter would be confusing,1
16378,added test to ensure single class is passed multiple classes gave false positive ,1
15999,remove this php block not required,0
16378,fallback for wildcard since there is no support to remove all classes and another loop didnt seem to make sense there is an issue with the wildcard existing where gives invalid argument error,0
10713,dpobel i would better say no    may log   runtime   errors but is not really suitable for errors that is the direct result of bad programming and should fail hard like if a typo was made in a class or method name,0
10755,thats fine for now i may merge them if i get some time,1
16402,this is a minor bug fix  should be   ,1
16412,do not add a newline between if and the following statement check framework code about it rawtaz check yii source code about newlines there is no symfony zend other code style,0
8214,done renamed timestamp to freezedate    im actually setting builddate to the actual day that the image is built because it can differ from the freezedate,1
13740,can we use something more descriptive than  and  ,1
16412,remove space after commas,1
16422,i think you might need to prefix the string with  like above  because of some other processing we do later on the chain with error messages    also  if we dont allow the comma at all in a collection title  the reserved string    doesnt make sense  sin,1
10755,id like to keep the yourkit stuff out of the oae module  you can deliver a custom template via the param to    if you add the yk java arguments to then the oae module w,0
16427,what a load of rubbish,0
15707,yep  you are right  the problem is that we dont know if more headers have been added  another option is to create a refresh method and call it from outside every time a new header is created removed  makes sense for me,1
16414,heres that bug i was talking about pipe character is a regexp special character needs to be escaped to match,1
14904,good catch  thought i got everything  ,1
15343,good catch  ill fix the debug message in ,1
16414,this should be changed to so we can have  ,1
15316,will fix  i didnt read the contributing file before contributing ,1
15932,i think id like to either do this  or remove the comment if theres a need for the method to change  well feel it anyway,1
14904,can you make this protected   also s they the in the comment,1
15932,we could probably make this change in   unless it was accidental ,1
16455,the type of is  this is not fixed  let me know if its ok ,1
15932,raising within a template is  i think  unprecedented in this codebase  so itd be good to understand a bit more about whats going on is this to defend against  calls which forget to set it in their    options ,1
