number,repository
61,DrKLO/Telegram
63,fzaninotto/Faker
64,unbit/uwsgi
65,bagder/curl
66,jfeinstein10/SlidingMenu
67,liuliu/ccv
68,schacon/ruby-git
69,coleifer/peewee
70,mitchellh/vagrant
71,maraujop/django-crispy-forms
72,antirez/redis
73,sebastianbergmann/phpunit
2871,square/moshi
9714,Z3Prover/z3
11106,airbnb/AirMapView
16003,dmlc/xgboost
38210,dmlc/cxxnet
55020,googlesamples/android-UniversalMusicPlayer
60071,IdentityServer/IdentityServer3
60965,elastic/elasticsearch
61161,elastic/logstash
61461,elastic/elasticsearch-rails
62591,aspnet/DNX
64758,falconry/falcon
65369,dcramer/responses
65548,borisrepl/boris
67418,airbnb/airpal
70779,FransBouma/massive
81562,grpc/grpc-java
82369,slimphp/Slim
82668,roots/sage
82707,docker/compose
84162,reactive-streams/reactive-streams-jvm
86943,pymc-devs/pymc3
96581,square/sqlbrite
97324,cloudius-systems/seastar
101019,deeplearning4j/deeplearning4j
104280,avast/android-butterknife-zelezny
107674,i3/i3
109646,saulmm/Material-Movies
110459,ThinkUpLLC/ThinkUp
110661,arangodb/arangodb
115109,dotnet/orleans
116732,aspnet/XRE
119801,deployphp/deployer
136981,Yalantis/Context-Menu.Android
137220,KrauseFx/fastlane
138448,htacg/tidy-html5
139051,Yalantis/Pull-to-Refresh.Rentals-Android
141068,nwjs/nw.js
141926,square/javapoet
142605,karan/joe
143543,HelloZeroNet/ZeroNet
144371,ctfs/write-ups-2014
144539,XX-net/XX-Net
144809,Microsoft/bond
144866,Ajenti/ajenti
144983,JakeWharton/Telecine
145333,naver/pinpoint
145860,avast/android-styled-dialogs
148084,wasabeef/recyclerview-animators
148415,pyrocms/pyrocms-ci
149068,ikew0ng/SwipeBackLayout
152830,shadowsocks/shadowsocks-csharp
153273,orhanobut/dialogplus
170240,flarum/core
170385,googlesamples/android-testing
171181,druid-io/druid
194568,benanne/Lasagne
255028,Runscope/httpbin
262266,ozodrukh/CircularReveal
263870,tarcieri/http.rb
265099,mewwts/addict
265195,eliotsykes/rspec-rails-examples
267821,h2oai/h2o
269856,Raizlabs/DBFlow
271497,AnderWeb/discreteSeekBar
271828,python-visualization/folium
272118,googlei18n/libphonenumber
278475,github/scientist
278773,haifengl/smile
280116,theDazzler/droidicon
281168,mailpile/Mailpile
281227,powerline/powerline
290840,cachethq/Cachet
294471,letsencrypt/lets-encrypt-preview
294499,neokree/MaterialNavigationDrawer
295584,flask-restful/flask-restful
295915,dotnet/corefx
295967,SiCKRAGETV/SickRage
296688,arrayfire/arrayfire
296850,Redodo/tortilla
296897,pedrovgs/Algorithms
296940,KrauseFx/snapshot
297168,FriendsOfPHP/Sami
297185,silexphp/Pimple
297519,FriendsOfPHP/PHP-CS-Fixer
297715,skywinder/Github-Changelog-Generator
297727,ksoichiro/Android-ObservableScrollView
298188,facebook/proxygen
298900,real-logic/Aeron
298961,KrauseFx/deliver
302190,google/nogotofail
306473,StackStorm/st2
310461,google/guava
311187,rengwuxian/MaterialEditText
314055,lzyzsd/CircleProgress
314830,Sonarr/Sonarr
315822,Netflix/dynomite
320311,SkymindIO/deeplearning4j
323324,kanytu/android-parallax-recyclerview
335763,torodb/torodb
339403,klinker24/Talon-for-Twitter
340280,lastpass/lastpass-cli
342138,neokree/MaterialTabs
346455,Tj/commander
347492,gevent/gevent
350790,twigphp/Twig
350896,amulyakhare/TextDrawable
358153,facebookarchive/facebook-php-sdk
359415,schneems/derailed_benchmarks
363531,traex/RippleEffect
367671,amjith/pgcli
372710,NLPchina/ansj_seg
382477,google/brotli
383437,google/google-authenticator
411175,bcit-ci/CodeIgniter
420390,mgp25/WhatsAPI-Official
431847,navasmdc/MaterialDesignLibrary
432289,timehop/sticky-headers-recyclerview
433110,soarcn/BottomSheet
433581,sophron/wifiphisher
436325,netgusto/Baikal
436701,google/physical-web
437549,pixie-lang/pixie
441709,Realm/realm-java
452450,TheBerkin/Rant
452579,psaravan/JamsMusicPlayer
452645,tschellenbach/Stream-Framework
460711,thephpleague/omnipay
460715,Ranks/emojione
461489,what-studio/profiling
462374,cymcsg/UltimateAndroid
463024,octalmage/robotjs
465015,Swordfish90/cool-retro-term
466370,pushtorefresh/bamboo-storage
467262,visit1985/mdp
467457,docker-library/official-images
470913,tymondesigns/jwt-auth
473743,apache/storm
475964,daimajia/AndroidSwipeLayout
477124,NLPchina/elasticsearch-sql
480518,cerebris/jsonapi-resources
480907,Swordfish90/cool-old-term
481945,chanjarster/weixin-java-tools
481974,fastmonkeys/stellar
484472,Netflix/Scumblr
484740,MrEngineer13/SnackBar
485791,WebDevStudios/CMB2
487469,activeadmin/activeadmin
489767,ReactiveX/RxAndroid
489827,ReactiveX/RxJava
490216,wmora/snackbar
490565,trueinteractions/tint2
494450,rocketeers/rocketeer
494724,mail-in-a-box/mailinabox
500972,summerblue/phphub
501161,hashrocket/decent_exposure
508073,iluwatar/java-design-patterns
515013,Diolor/Swipecards
517976,darknessomi/musicbox
522221,getgrav/grav
522676,jonathanslenders/python-prompt-toolkit
528862,php/php-langspec
530031,sdegutis/mjolnir
531964,WhisperSystems/Signal-iOS
533164,seL4/seL4
535059,AltBeacon/android-beacon-library
537191,watabou/pixel-dungeon
541460,asciinema/asciinema-cli
542887,docker/docker-py
543484,docker/docker-registry
549882,mustache/mustache
549919,ankane/pghero
551766,Project-OSRM/osrm-backend
556817,pagekit/pagekit
564576,zzmp/juliusjs
568258,Wizcorp/phonegap-facebook-plugin
572881,square/assertj-android
580829,objc-zen/objc-zen-book
582614,google/guice
583504,OculusVR/RakNet
586659,open-source-parsers/jsoncpp
589531,deanmalmgren/textract
589767,pedrovgs/EffectiveAndroidUI
592288,RolifyCommunity/rolify
599919,HangfireIO/Hangfire
599978,lynndylanhurley/devise_token_auth
602924,huangz1990/redis-3.0-annotated
605438,Automattic/node-canvas
607076,dart-lang/chromedeveditor
614252,daimajia/AndroidViewAnimations
615671,uranusjr/macdown
615865,clowwindy/ChinaDNS
617585,aerospike/aerospike-server
617878,sandstorm-io/sandstorm
618785,ricochet-im/ricochet
620258,DatabaseCleaner/database_cleaner
624712,phacility/xhprof
627223,Compass/compass
627578,ratchetphp/Ratchet
628626,lotus/lotus
630332,phpbrew/phpbrew
630636,irungentoo/toxcore
636380,tekezo/Karabiner
636576,hickford/MechanicalSoup
639734,antiboredom/videogrep
645443,newrelic/centurion
649263,joshcam/PHP-MySQLi-Database-Class
651844,ruby-concurrency/concurrent-ruby
654670,Realm/jazzy
657941,spotify/helios
657956,sass/sass
658175,sass/libsass
663055,mapbox/mapbox-gl-native
663135,frankiesardo/auto-parcel
669865,python-pillow/Pillow
670492,daimajia/AndroidImageSlider
673512,runtimejs/runtime
675575,DTVD/rainbowstream
681829,phacility/phabricator
683243,rlabbe/Kalman-and-Bayesian-Filters-in-Python
686354,venmo/synx
689118,facebookarchive/scribe
695945,nothings/stb
699611,Mooophy/Cpp-Primer
700690,micahflee/onionshare
700891,Codecademy/EventHub
707476,odoo/odoo
709862,giampaolo/psutil
711862,aspnet/Mvc
711957,chukong/quick-cocos2d-x
713479,Atom/atom-shell
717174,pickhardt/betty
720832,caskroom/homebrew-cask
724538,raganwald-deprecated/homoiconic
726270,daimajia/NumberProgressBar
726511,facebook/facebook-php-sdk-v4
727183,google/closure-compiler
731167,vanillaforums/vanilla
735845,syncany/syncany
736353,jneen/rouge
743983,ipkn/crow
747003,bytedeco/javacpp
750337,asciimoo/drawille
750797,mina-deploy/mina
750842,mitsuhiko/click
752833,cppformat/cppformat
753932,jphp-compiler/jphp
754587,doorkeeper-gem/doorkeeper
754906,typus/typus
755172,aantonop/bitcoinbook
757926,pedrovgs/DraggablePanel
