,repository
61,DrKLO/Telegram
63,fzaninotto/Faker
65,bagder/curl
66,jfeinstein10/SlidingMenu
67,liuliu/ccv
69,coleifer/peewee
70,mitchellh/vagrant
71,maraujop/django-crispy-forms
72,antirez/redis
73,sebastianbergmann/phpunit
16003,dmlc/xgboost
55020,googlesamples/android-UniversalMusicPlayer
60965,elastic/elasticsearch
61161,elastic/logstash
64758,falconry/falcon
65548,borisrepl/boris
82369,slimphp/Slim
82668,roots/sage
82707,docker/compose
96581,square/sqlbrite
101019,deeplearning4j/deeplearning4j
110459,ThinkUpLLC/ThinkUp
119801,deployphp/deployer
136981,Yalantis/Context-Menu.Android
137220,KrauseFx/fastlane
139051,Yalantis/Pull-to-Refresh.Rentals-Android
141068,nwjs/nw.js
142605,karan/joe
144539,XX-net/XX-Net
144866,Ajenti/ajenti
148084,wasabeef/recyclerview-animators
148415,pyrocms/pyrocms-ci
149068,ikew0ng/SwipeBackLayout
152830,shadowsocks/shadowsocks-csharp
170240,flarum/core
170385,googlesamples/android-testing
171181,druid-io/druid
255028,Runscope/httpbin
272118,googlei18n/libphonenumber
278475,github/scientist
280116,theDazzler/droidicon
281168,mailpile/Mailpile
281227,powerline/powerline
290840,cachethq/Cachet
294471,letsencrypt/lets-encrypt-preview
295915,dotnet/corefx
296940,KrauseFx/snapshot
297519,FriendsOfPHP/PHP-CS-Fixer
297727,ksoichiro/Android-ObservableScrollView
298188,facebook/proxygen
298961,KrauseFx/deliver
310461,google/guava
311187,rengwuxian/MaterialEditText
320311,SkymindIO/deeplearning4j
347492,gevent/gevent
350790,twigphp/Twig
358153,facebookarchive/facebook-php-sdk
363531,traex/RippleEffect
367671,amjith/pgcli
382477,google/brotli
411175,bcit-ci/CodeIgniter
431847,navasmdc/MaterialDesignLibrary
433581,sophron/wifiphisher
436701,google/physical-web
441709,Realm/realm-java
460711,thephpleague/omnipay
461489,what-studio/profiling
463024,octalmage/robotjs
465015,Swordfish90/cool-retro-term
467262,visit1985/mdp
473743,apache/storm
475964,daimajia/AndroidSwipeLayout
480907,Swordfish90/cool-old-term
481974,fastmonkeys/stellar
487469,activeadmin/activeadmin
489767,ReactiveX/RxAndroid
489827,ReactiveX/RxJava
494724,mail-in-a-box/mailinabox
508073,iluwatar/java-design-patterns
522221,getgrav/grav
522676,jonathanslenders/python-prompt-toolkit
530031,sdegutis/mjolnir
543484,docker/docker-registry
549882,mustache/mustache
556817,pagekit/pagekit
564576,zzmp/juliusjs
580829,objc-zen/objc-zen-book
582614,google/guice
589767,pedrovgs/EffectiveAndroidUI
605438,Automattic/node-canvas
607076,dart-lang/chromedeveditor
614252,daimajia/AndroidViewAnimations
615671,uranusjr/macdown
617878,sandstorm-io/sandstorm
618785,ricochet-im/ricochet
627223,Compass/compass
627578,ratchetphp/Ratchet
628626,lotus/lotus
630332,phpbrew/phpbrew
630636,irungentoo/toxcore
651844,ruby-concurrency/concurrent-ruby
654670,Realm/jazzy
657956,sass/sass
658175,sass/libsass
669865,python-pillow/Pillow
670492,daimajia/AndroidImageSlider
681829,phacility/phabricator
686354,venmo/synx
689118,facebookarchive/scribe
695945,nothings/stb
707476,odoo/odoo
711862,aspnet/Mvc
713479,Atom/atom-shell
717174,pickhardt/betty
720832,caskroom/homebrew-cask
726270,daimajia/NumberProgressBar
727183,google/closure-compiler
750797,mina-deploy/mina
750842,mitsuhiko/click
754587,doorkeeper-gem/doorkeeper
761715,dingo/api
764071,singwhatiwanna/dynamic-load-apk
786918,dropbox/pyston
787194,teampoltergeist/poltergeist
787889,google/iosched
787971,AndroidBootstrap/android-bootstrap
788632,scrapinghub/portia
789080,jasperproject/jasper-client
793481,webscalesql/webscalesql-5.6
796223,draios/sysdig
799538,picocms/Pico
800589,kanaka/mal
808362,stephanenicolas/robospice
825568,jdamcd/android-crop
826996,thumbor/thumbor
828444,fex-team/fis
838365,taigaio/taiga-back
841885,facebook/chisel
866097,CanCanCommunity/cancancan
869714,binux/pyspider
884126,elasticsearch/logstash
897316,romannurik/muzei
910681,tmuxinator/tmuxinator
910936,torchbox/wagtail
915774,neovim/neovim
916781,dropwizard/metrics
917829,BoltsFramework/Bolts-Android
919798,inboxapp/inbox
921498,wkhtmltopdf/wkhtmltopdf
930125,JakeWharton/u2020
930988,thephpleague/flysystem
953175,voltrb/volt
956894,tomchristie/mkdocs
966659,aporter/coursera-android
967713,rails/spring
967804,SoftEtherVPN/SoftEtherVPN
970178,micropython/micropython
985488,codelucas/newspaper
986072,orchardup/fig
991050,roots/bedrock
991613,etsy/AndroidStaggeredGrid
1010995,BVLC/caffe
1018970,google/liquidfun
1019552,jekyll/jekyll
1020713,coolwanglu/vim.js
1022996,JakeWharton/hugo
1025160,SamyPesse/How-to-Make-a-Computer-Operating-System
1028849,castorflex/SmoothProgressBar
1029504,path/android-priority-jobqueue
1038024,Xfennec/cv
1039712,karan/Projects
1050004,activerecord-hackery/squeel
1050439,omnipay/omnipay
1050756,activerecord-hackery/ransack
1062301,fogleman/Craft
1064219,shipyard/shipyard
1066770,zurb/ink
1067494,google/google-api-php-client
1072407,silexphp/Silex
1076685,WP-API/WP-API
1080828,Mantle/Mantle
1087626,facebook/rebound
1089936,Thibaut/devdocs
1093816,junegunn/fzf
1116759,brettwooldridge/HikariCP
1120038,facebook/hhvm
1123397,vysheng/tg
1158160,yhat/ggplot
1166533,balloob/home-assistant
1168046,jp9000/obs-studio
1174066,gabrielemariotti/cardslib
1174324,uglide/RedisDesktopManager
1174820,dropwizard/dropwizard
1176419,cloudius-systems/osv
1177312,cesanta/mongoose
1186548,nanomsg/nanomsg
1194053,geocoder-php/Geocoder
1196539,roots/roots
1202075,lovell/sharp
1226974,google/gumbo-parser
1228786,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
1231654,eclipse/vert.x
1232478,google/auto
1232550,layervault/psd.rb
1233001,BBC-News/wraith
1236308,robertdavidgraham/masscan
1249721,jeffknupp/sandman
1261763,torch/torch7
1269224,phusion/passenger
1269769,nlohmann/json
1270587,mame/quine-relay
1270678,ankane/searchkick
1273321,matyhtf/swoole
1277273,erusev/parsedown
1279600,bumptech/glide
1286909,sloria/TextBlob
1296889,pattern-lab/patternlab-php
1297203,justinwalsh/daux.io
1306814,mitmproxy/mitmproxy
1312564,JoanZapata/android-iconify
1316739,erikhuda/thor
1326872,mcxiaoke/android-volley
1328418,umano/AndroidSlidingUpPanel
1328653,edx/edx-platform
1329012,Octokit/octokit.rb
1335542,nomad/shenzhen
1335857,nomad/cupertino
1341488,bundler/bundler
1342905,koush/ion
1343564,puphpet/puphpet
1351860,carrierwaveuploader/carrierwave
1352272,facebook/watchman
1354675,square/picasso
1355078,alexwolfe/Buttons
1373052,json-api/json-api
1384458,gelstudios/gitfiti
1393983,facebook/buck
1397521,lra/mackup
1401625,surfly/gevent
1401823,orangeduck/libCello
1404028,peek/peek
1405844,Prototik/HoloEverywhere
1406005,helios-framework/helios
1407033,pudo/dataset
1407764,resque/resque
1415699,gaylemcd/ctci
1416959,keepassx/keepassx
1417259,paralect/robomongo
1418405,nhaarman/ListViewAnimations
1418973,filp/whoops
1419586,tjanczuk/edge
1423158,cantino/huginn
1426444,CyberAgent/android-gpuimage
1433097,JakeWharton/butterknife
1439300,alibaba/druid
1439305,alibaba/fastjson
1440635,alibaba/tengine
1445664,omab/python-social-auth
1463935,mahmoud/boltons
1465742,mybatis/mybatis-3
1466199,JeffreyWay/Laravel-4-Generators
1476618,boxen/our-boxen
1482817,junit-team/junit
1501057,Netflix/RxJava
1502231,roboguice/roboguice
1509993,causes/scss-lint
1512850,koral--/android-gif-drawable
1512895,sokolovstas/SublimeWebInspector
1514613,square/android-times-square
